dayofweek,Hours,time1,time2,time3,PULocationID,count
1,10,245,249,209,43,222
1,11,249,209,222,43,206
1,12,209,222,206,43,248
1,13,222,206,248,43,251
1,14,206,248,251,43,321
1,15,248,251,321,43,376
1,16,251,321,376,43,223
1,17,321,376,223,43,275
1,18,376,223,275,43,257
1,19,223,275,257,43,222
1,20,275,257,222,43,141
1,21,257,222,141,43,176
1,22,222,141,176,43,86
1,23,141,176,86,43,43
2,0,176,86,43,43,30
2,1,86,43,30,43,20
2,2,43,30,20,43,24
2,3,30,20,24,43,18
2,4,20,24,18,43,14
2,5,24,18,14,43,31
2,6,18,14,31,43,81
2,7,14,31,81,43,225
2,8,31,81,225,43,213
2,9,81,225,213,43,187
2,10,225,213,187,43,206
2,11,213,187,206,43,212
2,12,187,206,212,43,239
2,13,206,212,239,43,269
2,14,212,239,269,43,307
2,15,239,269,307,43,343
2,16,269,307,343,43,228
2,17,307,343,228,43,263
2,18,343,228,263,43,252
2,19,228,263,252,43,234
2,20,263,252,234,43,147
2,21,252,234,147,43,180
2,22,234,147,180,43,97
2,23,147,180,97,43,61
3,0,180,97,61,43,23
3,1,97,61,23,43,20
3,2,61,23,20,43,13
3,3,23,20,13,43,12
3,4,20,13,12,43,22
3,5,13,12,22,43,40
3,6,12,22,40,43,84
3,7,22,40,84,43,230
3,8,40,84,230,43,217
3,9,84,230,217,43,190
3,10,230,217,190,43,234
3,11,217,190,234,43,186
3,12,190,234,186,43,229
3,13,234,186,229,43,306
3,14,186,229,306,43,364
3,15,229,306,364,43,329
3,16,306,364,329,43,238
3,17,364,329,238,43,281
3,18,329,238,281,43,262
3,19,238,281,262,43,245
3,20,281,262,245,43,139
3,21,262,245,139,43,199
3,22,245,139,199,43,110
3,23,139,199,110,43,88
4,0,199,110,88,43,56
4,1,110,88,56,43,21
4,2,88,56,21,43,27
4,3,56,21,27,43,18
4,4,21,27,18,43,21
4,5,27,18,21,43,37
4,6,18,21,37,43,82
4,7,21,37,82,43,192
4,8,37,82,192,43,254
4,9,82,192,254,43,156
4,10,192,254,156,43,179
4,11,254,156,179,43,149
4,12,156,179,149,43,240
4,13,179,149,240,43,301
4,14,149,240,301,43,352
4,15,240,301,352,43,370
4,16,301,352,370,43,255
4,17,352,370,255,43,325
4,18,370,255,325,43,269
4,19,255,325,269,43,242
4,20,325,269,242,43,166
4,21,269,242,166,43,131
4,22,242,166,131,43,101
4,23,166,131,101,43,80
5,0,131,101,80,43,55
5,1,101,80,55,43,35
5,2,80,55,35,43,31
5,3,55,35,31,43,11
5,4,35,31,11,43,12
5,5,31,11,12,43,28
5,6,11,12,28,43,33
5,7,12,28,33,43,54
5,8,28,33,54,43,78
5,9,33,54,78,43,103
5,10,54,78,103,43,162
5,11,78,103,162,43,183
5,12,103,162,183,43,290
5,13,162,183,290,43,373
5,14,183,290,373,43,371
5,15,290,373,371,43,462
5,16,373,371,462,43,336
5,17,371,462,336,43,376
5,18,462,336,376,43,324
5,19,336,376,324,43,275
5,20,376,324,275,43,214
5,21,324,275,214,43,119
5,22,275,214,119,43,101
5,23,214,119,101,43,100
6,0,119,101,100,43,53
6,1,101,100,53,43,28
6,2,100,53,28,43,14
6,3,53,28,14,43,11
6,4,28,14,11,43,5
6,5,14,11,5,43,11
6,6,11,5,11,43,24
6,7,5,11,24,43,52
6,8,11,24,52,43,79
6,9,24,52,79,43,93
6,10,52,79,93,43,160
6,11,79,93,160,43,184
6,12,93,160,184,43,272
6,13,160,184,272,43,370
6,14,184,272,370,43,376
6,15,272,370,376,43,369
6,16,370,376,369,43,329
6,17,376,369,329,43,316
6,18,369,329,316,43,148
6,19,329,316,148,43,133
6,20,316,148,133,43,129
6,21,148,133,129,43,97
6,22,133,129,97,43,68
6,23,129,97,68,43,52
0,0,97,68,52,43,28
0,1,68,52,28,43,31
