dayofweek,PULocationID,Hours,time1,time2,time3,count
6,161,0,0,0,0,653
6,161,1,0,0,653,596
6,161,2,0,653,596,405
6,161,3,653,596,405,286
6,161,4,596,405,286,174
6,161,5,405,286,174,108
6,161,6,286,174,108,68
6,161,7,174,108,68,69
6,161,8,108,68,69,86
6,161,9,68,69,86,144
6,161,10,69,86,144,227
6,161,11,86,144,227,330
6,161,12,144,227,330,405
6,161,13,227,330,405,510
6,161,14,330,405,510,497
6,161,15,405,510,497,559
6,161,16,510,497,559,471
6,161,17,497,559,471,457
6,161,18,559,471,457,458
6,161,19,471,457,458,395
6,161,20,457,458,395,360
6,161,21,458,395,360,342
6,161,22,395,360,342,312
6,161,23,360,342,312,204
0,161,0,342,312,204,107
0,161,1,312,204,107,59
0,161,2,204,107,59,27
0,161,3,107,59,27,37
0,161,4,59,27,37,27
0,161,5,27,37,27,38
0,161,6,37,27,38,51
0,161,7,27,38,51,102
0,161,8,38,51,102,128
0,161,9,51,102,128,203
0,161,10,102,128,203,326
0,161,11,128,203,326,421
0,161,12,203,326,421,575
0,161,13,326,421,575,652
0,161,14,421,575,652,700
0,161,15,575,652,700,690
0,161,16,652,700,690,687
0,161,17,700,690,687,747
0,161,18,690,687,747,734
0,161,19,687,747,734,557
0,161,20,747,734,557,357
0,161,21,734,557,357,328
0,161,22,557,357,328,223
0,161,23,357,328,223,233
1,161,0,328,223,233,144
1,161,1,223,233,144,71
1,161,2,233,144,71,33
1,161,3,144,71,33,27
1,161,4,71,33,27,14
1,161,5,33,27,14,64
1,161,6,27,14,64,173
1,161,7,14,64,173,305
1,161,8,64,173,305,378
1,161,9,173,305,378,390
1,161,10,305,378,390,539
1,161,11,378,390,539,592
1,161,12,390,539,592,786
1,161,13,539,592,786,849
1,161,14,592,786,849,758
1,161,15,786,849,758,859
1,161,16,849,758,859,694
1,161,17,758,859,694,831
1,161,18,859,694,831,976
1,161,19,694,831,976,965
1,161,20,831,976,965,820
1,161,21,976,965,820,766
1,161,22,965,820,766,516
1,161,23,820,766,516,333
2,161,0,766,516,333,208
2,161,1,516,333,208,115
2,161,2,333,208,115,43
2,161,3,208,115,43,45
2,161,4,115,43,45,26
2,161,5,43,45,26,55
2,161,6,45,26,55,148
2,161,7,26,55,148,294
2,161,8,55,148,294,353
2,161,9,148,294,353,401
2,161,10,294,353,401,538
2,161,11,353,401,538,655
2,161,12,401,538,655,712
2,161,13,538,655,712,749
2,161,14,655,712,749,812
2,161,15,712,749,812,773
2,161,16,749,812,773,632
2,161,17,812,773,632,725
2,161,18,773,632,725,922
2,161,19,632,725,922,1128
2,161,20,725,922,1128,1025
2,161,21,922,1128,1025,1027
2,161,22,1128,1025,1027,753
2,161,23,1025,1027,753,488
3,161,0,1027,753,488,332
3,161,1,753,488,332,144
3,161,2,488,332,144,80
3,161,3,332,144,80,42
3,161,4,144,80,42,35
3,161,5,80,42,35,59
3,161,6,42,35,59,194
3,161,7,35,59,194,347
3,161,8,59,194,347,395
3,161,9,194,347,395,489
3,161,10,347,395,489,609
3,161,11,395,489,609,709
3,161,12,489,609,709,844
3,161,13,609,709,844,802
3,161,14,709,844,802,937
3,161,15,844,802,937,945
3,161,16,802,937,945,787
3,161,17,937,945,787,773
3,161,18,945,787,773,1006
3,161,19,787,773,1006,1127
3,161,20,773,1006,1127,1190
3,161,21,1006,1127,1190,1184
3,161,22,1127,1190,1184,786
3,161,23,1190,1184,786,523
4,161,0,1184,786,523,390
4,161,1,786,523,390,175
4,161,2,523,390,175,85
4,161,3,390,175,85,62
4,161,4,175,85,62,42
4,161,5,85,62,42,80
4,161,6,62,42,80,183
4,161,7,42,80,183,303
4,161,8,80,183,303,375
4,161,9,183,303,375,434
4,161,10,303,375,434,601
4,161,11,375,434,601,693
4,161,12,434,601,693,815
4,161,13,601,693,815,810
4,161,14,693,815,810,920
4,161,15,815,810,920,874
4,161,16,810,920,874,815
4,161,17,920,874,815,811
4,161,18,874,815,811,1123
4,161,19,815,811,1123,1073
4,161,20,811,1123,1073,904
4,161,21,1123,1073,904,738
4,161,22,1073,904,738,625
4,161,23,904,738,625,476
5,161,0,738,625,476,368
5,161,1,625,476,368,182
5,161,2,476,368,182,109
5,161,3,368,182,109,66
5,161,4,182,109,66,29
5,161,5,109,66,29,36
5,161,6,66,29,36,67
5,161,7,29,36,67,78
5,161,8,36,67,78,131
5,161,9,67,78,131,248
5,161,10,78,131,248,425
5,161,11,131,248,425,541
5,161,12,248,425,541,669
5,161,13,425,541,669,677
5,161,14,541,669,677,649
5,161,15,669,677,649,639
5,161,16,677,649,639,495
5,161,17,649,639,495,429
5,161,18,639,495,429,479
5,161,19,495,429,479,466
5,161,20,429,479,466,490
5,161,21,479,466,490,381
5,161,22,466,490,381,340
5,161,23,490,381,340,323
6,161,0,381,340,323,261
6,161,1,340,323,261,134
6,161,2,323,261,134,70
6,161,3,261,134,70,51
6,161,4,134,70,51,31
6,161,5,70,51,31,30
6,161,6,51,31,30,56
6,161,7,31,30,56,86
6,161,8,30,56,86,141
6,161,9,56,86,141,253
6,161,10,86,141,253,336
6,161,11,141,253,336,462
6,161,12,253,336,462,537
6,161,13,336,462,537,529
6,161,14,462,537,529,565
6,161,15,537,529,565,525
6,161,16,529,565,525,579
6,161,17,565,525,579,587
6,161,18,525,579,587,594
6,161,19,579,587,594,430
6,161,20,587,594,430,337
6,161,21,594,430,337,266
6,161,22,430,337,266,197
6,161,23,337,266,197,146
0,161,0,266,197,146,95
0,161,1,197,146,95,47
0,161,2,146,95,47,19
0,161,3,95,47,19,23
0,161,4,47,19,23,21
0,161,5,19,23,21,73
0,161,6,23,21,73,228
0,161,7,21,73,228,448
0,161,8,73,228,448,604
0,161,9,228,448,604,564
0,161,10,448,604,564,558
0,161,11,604,564,558,621
0,161,12,564,558,621,717
0,161,13,558,621,717,723
0,161,14,621,717,723,834
0,161,15,717,723,834,765
0,161,16,723,834,765,744
0,161,17,834,765,744,899
0,161,18,765,744,899,993
0,161,19,744,899,993,1187
0,161,20,899,993,1187,1094
0,161,21,993,1187,1094,921
0,161,22,1187,1094,921,665
0,161,23,1094,921,665,363
1,161,0,921,665,363,293
1,161,1,665,363,293,118
1,161,2,363,293,118,65
1,161,3,293,118,65,39
1,161,4,118,65,39,29
1,161,5,65,39,29,80
1,161,6,39,29,80,192
1,161,7,29,80,192,382
1,161,8,80,192,382,461
1,161,9,192,382,461,504
1,161,10,382,461,504,601
1,161,11,461,504,601,685
1,161,12,504,601,685,728
