dayofweek,PULocationID,Hours,time1,time2,time3,count
2,161,0,0,0,0,336
2,161,1,0,0,336,184
2,161,2,0,336,184,77
2,161,3,336,184,77,46
2,161,4,184,77,46,42
2,161,5,77,46,42,69
2,161,6,46,42,69,157
2,161,7,42,69,157,315
2,161,8,69,157,315,510
2,161,9,157,315,510,546
2,161,10,315,510,546,570
2,161,11,510,546,570,721
2,161,12,546,570,721,821
2,161,13,570,721,821,868
2,161,14,721,821,868,999
2,161,15,821,868,999,902
2,161,16,868,999,902,865
2,161,17,999,902,865,989
2,161,18,902,865,989,1157
2,161,19,865,989,1157,1185
2,161,20,989,1157,1185,1257
2,161,21,1157,1185,1257,1141
2,161,22,1185,1257,1141,940
2,161,23,1257,1141,940,599
3,161,0,1141,940,599,363
3,161,1,940,599,363,195
3,161,2,599,363,195,110
3,161,3,363,195,110,56
3,161,4,195,110,56,49
3,161,5,110,56,49,81
3,161,6,56,49,81,172
3,161,7,49,81,172,361
3,161,8,81,172,361,587
3,161,9,172,361,587,562
3,161,10,361,587,562,600
3,161,11,587,562,600,773
3,161,12,562,600,773,880
3,161,13,600,773,880,933
3,161,14,773,880,933,1058
3,161,15,880,933,1058,941
3,161,16,933,1058,941,812
3,161,17,1058,941,812,892
3,161,18,941,812,892,1095
3,161,19,812,892,1095,1010
3,161,20,892,1095,1010,1105
3,161,21,1095,1010,1105,1093
3,161,22,1010,1105,1093,1107
3,161,23,1105,1093,1107,730
4,161,0,1093,1107,730,435
4,161,1,1107,730,435,248
4,161,2,730,435,248,113
4,161,3,435,248,113,69
4,161,4,248,113,69,43
4,161,5,113,69,43,85
4,161,6,69,43,85,165
4,161,7,43,85,165,337
4,161,8,85,165,337,458
4,161,9,165,337,458,521
4,161,10,337,458,521,601
4,161,11,458,521,601,791
4,161,12,521,601,791,871
4,161,13,601,791,871,994
4,161,14,791,871,994,1009
4,161,15,871,994,1009,868
4,161,16,994,1009,868,864
4,161,17,1009,868,864,912
4,161,18,868,864,912,993
4,161,19,864,912,993,974
4,161,20,912,993,974,887
4,161,21,993,974,887,703
4,161,22,974,887,703,697
4,161,23,887,703,697,485
5,161,0,703,697,485,329
5,161,1,697,485,329,194
5,161,2,485,329,194,92
5,161,3,329,194,92,70
5,161,4,194,92,70,41
5,161,5,92,70,41,31
5,161,6,70,41,31,59
5,161,7,41,31,59,84
5,161,8,31,59,84,151
5,161,9,59,84,151,245
5,161,10,84,151,245,376
5,161,11,151,245,376,430
5,161,12,245,376,430,567
5,161,13,376,430,567,611
5,161,14,430,567,611,610
5,161,15,567,611,610,715
5,161,16,611,610,715,755
5,161,17,610,715,755,765
5,161,18,715,755,765,823
5,161,19,755,765,823,786
5,161,20,765,823,786,518
5,161,21,823,786,518,456
5,161,22,786,518,456,560
5,161,23,518,456,560,428
6,161,0,456,560,428,245
6,161,1,560,428,245,229
6,161,2,428,245,229,108
6,161,3,245,229,108,96
6,161,4,229,108,96,53
6,161,5,108,96,53,41
6,161,6,96,53,41,38
6,161,7,53,41,38,63
6,161,8,41,38,63,130
6,161,9,38,63,130,215
6,161,10,63,130,215,300
6,161,11,130,215,300,393
6,161,12,215,300,393,476
6,161,13,300,393,476,504
6,161,14,393,476,504,465
6,161,15,476,504,465,463
6,161,16,504,465,463,516
6,161,17,465,463,516,536
6,161,18,463,516,536,494
6,161,19,516,536,494,362
6,161,20,536,494,362,204
6,161,21,494,362,204,188
6,161,22,362,204,188,215
6,161,23,204,188,215,148
0,161,0,188,215,148,84
0,161,1,215,148,84,50
0,161,2,148,84,50,19
0,161,3,84,50,19,16
0,161,4,50,19,16,22
0,161,5,19,16,22,42
0,161,6,16,22,42,135
0,161,7,22,42,135,347
0,161,8,42,135,347,467
0,161,9,135,347,467,468
0,161,10,347,467,468,476
0,161,11,467,468,476,559
0,161,12,468,476,559,672
0,161,13,476,559,672,721
0,161,14,559,672,721,783
0,161,15,672,721,783,758
0,161,16,721,783,758,773
0,161,17,783,758,773,1003
0,161,18,758,773,1003,1097
0,161,19,773,1003,1097,1087
0,161,20,1003,1097,1087,1065
0,161,21,1097,1087,1065,931
0,161,22,1087,1065,931,703
0,161,23,1065,931,703,407
1,161,0,931,703,407,252
1,161,1,703,407,252,154
1,161,2,407,252,154,74
1,161,3,252,154,74,35
1,161,4,154,74,35,33
1,161,5,74,35,33,60
1,161,6,35,33,60,185
1,161,7,33,60,185,421
1,161,8,60,185,421,629
1,161,9,185,421,629,566
1,161,10,421,629,566,618
1,161,11,629,566,618,936
1,161,12,566,618,936,769
1,161,13,618,936,769,862
1,161,14,936,769,862,985
1,161,15,769,862,985,921
1,161,16,862,985,921,857
1,161,17,985,921,857,1011
1,161,18,921,857,1011,1127
1,161,19,857,1011,1127,1190
1,161,20,1011,1127,1190,1250
1,161,21,1127,1190,1250,1215
1,161,22,1190,1250,1215,1048
1,161,23,1250,1215,1048,575
2,161,0,1215,1048,575,362
2,161,1,1048,575,362,203
2,161,2,575,362,203,82
2,161,3,362,203,82,59
2,161,4,203,82,59,36
2,161,5,82,59,36,68
2,161,6,59,36,68,163
2,161,7,36,68,163,380
2,161,8,68,163,380,564
2,161,9,163,380,564,486
2,161,10,380,564,486,600
2,161,11,564,486,600,796
2,161,12,486,600,796,816
2,161,13,600,796,816,832
2,161,14,796,816,832,931
2,161,15,816,832,931,846
2,161,16,832,931,846,736
2,161,17,931,846,736,764
2,161,18,846,736,764,940
2,161,19,736,764,940,1145
2,161,20,764,940,1145,1256
2,161,21,940,1145,1256,1190
2,161,22,1145,1256,1190,1046
2,161,23,1256,1190,1046,598
3,161,0,1190,1046,598,381
3,161,1,1046,598,381,204
3,161,2,598,381,204,115
3,161,3,381,204,115,70
3,161,4,204,115,70,41
3,161,5,115,70,41,57
3,161,6,70,41,57,142
3,161,7,41,57,142,259
3,161,8,57,142,259,281
3,161,9,142,259,281,255
3,161,10,259,281,255,297
3,161,11,281,255,297,356
3,161,12,255,297,356,371
3,161,13,297,356,371,396
3,161,14,356,371,396,450
3,161,15,371,396,450,504
3,161,16,396,450,504,527
3,161,17,450,504,527,536
3,161,18,504,527,536,614
3,161,19,527,536,614,753
3,161,20,536,614,753,638
3,161,21,614,753,638,687
3,161,22,753,638,687,667
3,161,23,638,687,667,378
4,161,0,687,667,378,258
4,161,1,667,378,258,127
4,161,2,378,258,127,83
4,161,3,258,127,83,38
4,161,4,127,83,38,41
4,161,5,83,38,41,84
4,161,6,38,41,84,184
4,161,7,41,84,184,359
4,161,8,84,184,359,499
4,161,9,184,359,499,555
4,161,10,359,499,555,602
4,161,11,499,555,602,676
4,161,12,555,602,676,666
4,161,13,602,676,666,697
4,161,14,676,666,697,758
4,161,15,666,697,758,615
4,161,16,697,758,615,563
4,161,17,758,615,563,521
4,161,18,615,563,521,648
4,161,19,563,521,648,830
4,161,20,521,648,830,906
4,161,21,648,830,906,757
4,161,22,830,906,757,930
4,161,23,906,757,930,603
5,161,0,757,930,603,478
5,161,1,930,603,478,243
5,161,2,603,478,243,113
5,161,3,478,243,113,78
5,161,4,243,113,78,79
5,161,5,113,78,79,36
5,161,6,78,79,36,61
5,161,7,79,36,61,92
5,161,8,36,61,92,137
5,161,9,61,92,137,249
5,161,10,92,137,249,358
5,161,11,137,249,358,480
5,161,12,249,358,480,564
5,161,13,358,480,564,620
5,161,14,480,564,620,662
5,161,15,564,620,662,679
5,161,16,620,662,679,625
5,161,17,662,679,625,622
5,161,18,679,625,622,731
5,161,19,625,622,731,745
5,161,20,622,731,745,500
5,161,21,731,745,500,497
5,161,22,745,500,497,750
5,161,23,500,497,750,487
6,161,0,497,750,487,379
6,161,1,750,487,379,273
6,161,2,487,379,273,132
6,161,3,379,273,132,77
6,161,4,273,132,77,55
6,161,5,132,77,55,41
6,161,6,77,55,41,56
6,161,7,55,41,56,94
6,161,8,41,56,94,146
6,161,9,56,94,146,269
6,161,10,94,146,269,501
6,161,11,146,269,501,643
6,161,12,269,501,643,731
6,161,13,501,643,731,601
6,161,14,643,731,601,647
6,161,15,731,601,647,599
6,161,16,601,647,599,612
6,161,17,647,599,612,652
6,161,18,599,612,652,666
6,161,19,612,652,666,456
6,161,20,652,666,456,294
6,161,21,666,456,294,293
6,161,22,456,294,293,199
6,161,23,294,293,199,144
0,161,0,293,199,144,107
0,161,1,199,144,107,45
0,161,2,144,107,45,29
0,161,3,107,45,29,27
0,161,4,45,29,27,21
0,161,5,29,27,21,49
0,161,6,27,21,49,164
0,161,7,21,49,164,351
0,161,8,49,164,351,407
0,161,9,164,351,407,501
0,161,10,351,407,501,548
0,161,11,407,501,548,652
0,161,12,501,548,652,723
0,161,13,548,652,723,819
0,161,14,652,723,819,928
0,161,15,723,819,928,833
0,161,16,819,928,833,838
0,161,17,928,833,838,1026
0,161,18,833,838,1026,1144
0,161,19,838,1026,1144,1234
0,161,20,1026,1144,1234,1142
0,161,21,1144,1234,1142,1108
0,161,22,1234,1142,1108,868
0,161,23,1142,1108,868,541
1,161,0,1108,868,541,290
1,161,1,868,541,290,191
1,161,2,541,290,191,73
1,161,3,290,191,73,38
1,161,4,191,73,38,36
1,161,5,73,38,36,55
1,161,6,38,36,55,179
1,161,7,36,55,179,367
1,161,8,55,179,367,502
1,161,9,179,367,502,534
1,161,10,367,502,534,620
1,161,11,502,534,620,765
1,161,12,534,620,765,877
1,161,13,620,765,877,824
1,161,14,765,877,824,944
1,161,15,877,824,944,889
1,161,16,824,944,889,734
1,161,17,944,889,734,642
1,161,18,889,734,642,632
1,161,19,734,642,632,970
1,161,20,642,632,970,1126
1,161,21,632,970,1126,1019
1,161,22,970,1126,1019,918
1,161,23,1126,1019,918,595
2,161,0,1019,918,595,388
2,161,1,918,595,388,151
2,161,2,595,388,151,81
2,161,3,388,151,81,51
2,161,4,151,81,51,47
2,161,5,81,51,47,60
2,161,6,51,47,60,183
2,161,7,47,60,183,386
2,161,8,60,183,386,477
2,161,9,183,386,477,553
2,161,10,386,477,553,593
2,161,11,477,553,593,721
2,161,12,553,593,721,812
2,161,13,593,721,812,870
2,161,14,721,812,870,956
2,161,15,812,870,956,941
2,161,16,870,956,941,715
2,161,17,956,941,715,776
2,161,18,941,715,776,780
2,161,19,715,776,780,1106
2,161,20,776,780,1106,1234
2,161,21,780,1106,1234,1188
2,161,22,1106,1234,1188,1041
2,161,23,1234,1188,1041,583
3,161,0,1188,1041,583,431
3,161,1,1041,583,431,204
3,161,2,583,431,204,117
3,161,3,431,204,117,71
3,161,4,204,117,71,37
3,161,5,117,71,37,72
3,161,6,71,37,72,192
3,161,7,37,72,192,418
3,161,8,72,192,418,483
3,161,9,192,418,483,524
3,161,10,418,483,524,660
3,161,11,483,524,660,854
3,161,12,524,660,854,932
3,161,13,660,854,932,970
3,161,14,854,932,970,1063
3,161,15,932,970,1063,1005
3,161,16,970,1063,1005,859
3,161,17,1063,1005,859,900
3,161,18,1005,859,900,976
3,161,19,859,900,976,1065
3,161,20,900,976,1065,1183
3,161,21,976,1065,1183,1187
3,161,22,1065,1183,1187,1031
3,161,23,1183,1187,1031,618
4,161,0,1187,1031,618,488
4,161,1,1031,618,488,226
4,161,2,618,488,226,122
4,161,3,488,226,122,78
4,161,4,226,122,78,58
4,161,5,122,78,58,72
4,161,6,78,58,72,161
4,161,7,58,72,161,329
4,161,8,72,161,329,436
4,161,9,161,329,436,527
4,161,10,329,436,527,632
4,161,11,436,527,632,751
4,161,12,527,632,751,843
4,161,13,632,751,843,913
4,161,14,751,843,913,1010
4,161,15,843,913,1010,912
4,161,16,913,1010,912,728
4,161,17,1010,912,728,868
4,161,18,912,728,868,1122
4,161,19,728,868,1122,1088
4,161,20,868,1122,1088,830
4,161,21,1122,1088,830,672
4,161,22,1088,830,672,716
4,161,23,830,672,716,514
5,161,0,672,716,514,359
5,161,1,716,514,359,182
5,161,2,514,359,182,112
5,161,3,359,182,112,59
5,161,4,182,112,59,56
5,161,5,112,59,56,42
5,161,6,59,56,42,48
5,161,7,56,42,48,139
5,161,8,42,48,139,175
5,161,9,48,139,175,254
5,161,10,139,175,254,389
5,161,11,175,254,389,494
5,161,12,254,389,494,474
5,161,13,389,494,474,543
5,161,14,494,474,543,663
5,161,15,474,543,663,666
5,161,16,543,663,666,652
5,161,17,663,666,652,816
5,161,18,666,652,816,834
5,161,19,652,816,834,755
5,161,20,816,834,755,510
5,161,21,834,755,510,443
5,161,22,755,510,443,601
5,161,23,510,443,601,413
6,161,0,443,601,413,319
6,161,1,601,413,319,177
6,161,2,413,319,177,151
6,161,3,319,177,151,71
6,161,4,177,151,71,59
6,161,5,151,71,59,29
6,161,6,71,59,29,61
6,161,7,59,29,61,106
6,161,8,29,61,106,185
6,161,9,61,106,185,279
6,161,10,106,185,279,432
6,161,11,185,279,432,481
6,161,12,279,432,481,519
6,161,13,432,481,519,532
6,161,14,481,519,532,550
6,161,15,519,532,550,546
6,161,16,532,550,546,577
6,161,17,550,546,577,659
6,161,18,546,577,659,742
6,161,19,577,659,742,500
6,161,20,659,742,500,369
6,161,21,742,500,369,392
6,161,22,500,369,392,273
6,161,23,369,392,273,173
0,161,0,392,273,173,126
0,161,1,273,173,126,55
0,161,2,173,126,55,56
0,161,3,126,55,56,32
0,161,4,55,56,32,29
0,161,5,56,32,29,39
0,161,6,32,29,39,71
0,161,7,29,39,71,129
0,161,8,39,71,129,246
0,161,9,71,129,246,354
0,161,10,129,246,354,430
0,161,11,246,354,430,511
0,161,12,354,430,511,570
0,161,13,430,511,570,593
0,161,14,511,570,593,655
0,161,15,570,593,655,713
0,161,16,593,655,713,723
0,161,17,655,713,723,828
0,161,18,713,723,828,886
0,161,19,723,828,886,704
0,161,20,828,886,704,501
0,161,21,886,704,501,458
0,161,22,704,501,458,364
0,161,23,501,458,364,259
1,161,0,458,364,259,188
1,161,1,364,259,188,61
1,161,2,259,188,61,47
1,161,3,188,61,47,21
1,161,4,61,47,21,21
1,161,5,47,21,21,41
1,161,6,21,21,41,173
1,161,7,21,41,173,291
1,161,8,41,173,291,423
1,161,9,173,291,423,481
1,161,10,291,423,481,511
1,161,11,423,481,511,633
1,161,12,481,511,633,767
1,161,13,511,633,767,742
1,161,14,633,767,742,913
1,161,15,767,742,913,795
1,161,16,742,913,795,861
1,161,17,913,795,861,931
1,161,18,795,861,931,1169
1,161,19,861,931,1169,1262
1,161,20,931,1169,1262,1088
1,161,21,1169,1262,1088,1132
1,161,22,1262,1088,1132,856
1,161,23,1088,1132,856,501
2,161,0,1132,856,501,333
2,161,1,856,501,333,147
2,161,2,501,333,147,110
2,161,3,333,147,110,52
2,161,4,147,110,52,44
2,161,5,110,52,44,61
2,161,6,52,44,61,174
2,161,7,44,61,174,324
2,161,8,61,174,324,439
2,161,9,174,324,439,523
2,161,10,324,439,523,547
2,161,11,439,523,547,732
2,161,12,523,547,732,837
2,161,13,547,732,837,819
2,161,14,732,837,819,935
2,161,15,837,819,935,891
2,161,16,819,935,891,803
2,161,17,935,891,803,905
2,161,18,891,803,905,1152
2,161,19,803,905,1152,1221
2,161,20,905,1152,1221,1189
2,161,21,1152,1221,1189,1096
2,161,22,1221,1189,1096,830
2,161,23,1189,1096,830,585
3,161,0,1096,830,585,377
3,161,1,830,585,377,208
3,161,2,585,377,208,96
3,161,3,377,208,96,61
3,161,4,208,96,61,48
3,161,5,96,61,48,79
3,161,6,61,48,79,196
3,161,7,48,79,196,308
3,161,8,79,196,308,404
3,161,9,196,308,404,535
3,161,10,308,404,535,537
3,161,11,404,535,537,721
3,161,12,535,537,721,871
3,161,13,537,721,871,840
3,161,14,721,871,840,1018
3,161,15,871,840,1018,991
3,161,16,840,1018,991,822
3,161,17,1018,991,822,839
3,161,18,991,822,839,1145
3,161,19,822,839,1145,1180
3,161,20,839,1145,1180,1079
3,161,21,1145,1180,1079,1166
3,161,22,1180,1079,1166,945
3,161,23,1079,1166,945,712
4,161,0,1166,945,712,435
4,161,1,945,712,435,231
4,161,2,712,435,231,129
4,161,3,435,231,129,67
4,161,4,231,129,67,50
4,161,5,129,67,50,88
4,161,6,67,50,88,156
4,161,7,50,88,156,295
4,161,8,88,156,295,332
4,161,9,156,295,332,464
4,161,10,295,332,464,565
4,161,11,332,464,565,691
4,161,12,464,565,691,808
4,161,13,565,691,808,801
4,161,14,691,808,801,951
4,161,15,808,801,951,905
4,161,16,801,951,905,796
4,161,17,951,905,796,859
4,161,18,905,796,859,1092
4,161,19,796,859,1092,1078
4,161,20,859,1092,1078,869
4,161,21,1092,1078,869,769
4,161,22,1078,869,769,666
4,161,23,869,769,666,573
5,161,0,769,666,573,356
5,161,1,666,573,356,171
5,161,2,573,356,171,116
5,161,3,356,171,116,66
5,161,4,171,116,66,45
5,161,5,116,66,45,42
5,161,6,66,45,42,59
5,161,7,45,42,59,77
5,161,8,42,59,77,135
5,161,9,59,77,135,243
5,161,10,77,135,243,349
5,161,11,135,243,349,490
5,161,12,243,349,490,544
5,161,13,349,490,544,639
5,161,14,490,544,639,632
5,161,15,544,639,632,638
5,161,16,639,632,638,662
5,161,17,632,638,662,874
5,161,18,638,662,874,829
5,161,19,662,874,829,703
5,161,20,874,829,703,507
