dayofweek,PULocationID,Hours,time1,time2,time3,count
2,138,0,0,0,0,254
2,138,1,0,0,254,2
2,138,4,2,0,0,1
2,138,5,0,0,1,9
2,138,6,0,1,9,20
2,138,7,1,9,20,167
2,138,8,9,20,167,344
2,138,9,20,167,344,456
2,138,10,167,344,456,492
2,138,11,344,456,492,448
2,138,12,456,492,448,298
2,138,13,492,448,298,432
2,138,14,448,298,432,400
2,138,15,298,432,400,435
2,138,16,432,400,435,418
2,138,17,400,435,418,516
2,138,18,435,418,516,447
2,138,19,418,516,447,444
2,138,20,516,447,444,402
2,138,21,447,444,402,558
2,138,22,444,402,558,334
2,138,23,402,558,334,252
3,138,0,558,334,252,41
3,138,1,334,252,41,1
3,138,3,41,1,0,2
3,138,4,1,0,2,7
3,138,5,0,2,7,9
3,138,6,2,7,9,4
3,138,7,7,9,4,176
3,138,8,9,4,176,251
3,138,9,4,176,251,392
3,138,10,176,251,392,400
3,138,11,251,392,400,409
3,138,12,392,400,409,382
3,138,13,400,409,382,399
3,138,14,409,382,399,442
3,138,15,382,399,442,414
3,138,16,399,442,414,420
3,138,17,442,414,420,550
3,138,18,414,420,550,611
3,138,19,420,550,611,507
3,138,20,550,611,507,535
3,138,21,611,507,535,554
3,138,22,507,535,554,478
3,138,23,535,554,478,320
4,138,0,554,478,320,21
4,138,1,478,320,21,1
4,138,4,1,0,0,1
4,138,5,0,0,1,6
4,138,6,0,1,6,11
4,138,7,1,6,11,114
4,138,8,6,11,114,234
4,138,9,11,114,234,332
4,138,10,114,234,332,409
4,138,11,234,332,409,393
4,138,12,332,409,393,346
4,138,13,409,393,346,439
4,138,14,393,346,439,481
4,138,15,346,439,481,503
4,138,16,439,481,503,482
4,138,17,481,503,482,552
4,138,18,503,482,552,525
4,138,19,482,552,525,447
4,138,20,552,525,447,511
4,138,21,525,447,511,498
4,138,22,447,511,498,381
4,138,23,511,498,381,283
5,138,0,498,381,283,13
5,138,1,381,283,13,1
5,138,2,283,13,1,3
5,138,3,13,1,3,2
5,138,4,1,3,2,3
5,138,5,3,2,3,4
5,138,6,2,3,4,7
5,138,7,3,4,7,26
5,138,8,4,7,26,73
5,138,9,7,26,73,91
5,138,10,26,73,91,276
5,138,11,73,91,276,276
5,138,12,91,276,276,301
5,138,13,276,276,301,280
5,138,14,276,301,280,267
5,138,15,301,280,267,204
5,138,16,280,267,204,267
5,138,17,267,204,267,295
5,138,18,204,267,295,129
5,138,19,267,295,129,147
5,138,20,295,129,147,109
5,138,21,129,147,109,220
5,138,22,147,109,220,105
5,138,23,109,220,105,189
6,138,0,220,105,189,51
6,138,1,105,189,51,2
6,138,2,189,51,2,2
6,138,3,51,2,2,3
6,138,4,2,2,3,5
6,138,5,2,3,5,3
6,138,6,3,5,3,8
6,138,7,5,3,8,30
6,138,8,3,8,30,70
6,138,9,8,30,70,93
6,138,10,30,70,93,276
6,138,11,70,93,276,231
6,138,12,93,276,231,388
6,138,13,276,231,388,284
6,138,14,231,388,284,412
6,138,15,388,284,412,576
6,138,16,284,412,576,535
6,138,17,412,576,535,575
6,138,18,576,535,575,558
6,138,19,535,575,558,462
6,138,20,575,558,462,447
6,138,21,558,462,447,616
6,138,22,462,447,616,447
6,138,23,447,616,447,388
0,138,0,616,447,388,165
0,138,1,447,388,165,27
0,138,2,388,165,27,2
0,138,3,165,27,2,1
0,138,4,27,2,1,3
0,138,5,2,1,3,11
0,138,6,1,3,11,9
0,138,7,3,11,9,368
0,138,8,11,9,368,491
0,138,9,9,368,491,538
0,138,10,368,491,538,690
0,138,11,491,538,690,576
0,138,12,538,690,576,517
0,138,13,690,576,517,451
0,138,14,576,517,451,489
0,138,15,517,451,489,465
0,138,16,451,489,465,549
0,138,17,489,465,549,482
0,138,18,465,549,482,525
0,138,19,549,482,525,425
0,138,20,482,525,425,504
0,138,21,525,425,504,520
0,138,22,425,504,520,462
0,138,23,504,520,462,437
1,138,0,520,462,437,142
1,138,1,462,437,142,2
1,138,2,437,142,2,1
1,138,3,142,2,1,1
1,138,4,2,1,1,1
1,138,5,1,1,1,5
1,138,6,1,1,5,38
1,138,7,1,5,38,267
1,138,8,5,38,267,393
1,138,9,38,267,393,490
1,138,10,267,393,490,560
1,138,11,393,490,560,406
1,138,12,490,560,406,415
1,138,13,560,406,415,399
1,138,14,406,415,399,474
