dayofweek,PULocationID,Hours,time1,time2,time3,count
2,132,0,0,0,0,170
2,132,1,0,0,170,77
2,132,2,0,170,77,12
2,132,3,170,77,12,13
2,132,4,77,12,13,17
2,132,5,12,13,17,247
2,132,6,13,17,247,239
2,132,7,17,247,239,226
2,132,8,247,239,226,101
2,132,9,239,226,101,95
2,132,10,226,101,95,136
2,132,11,101,95,136,172
2,132,12,95,136,172,271
2,132,13,136,172,271,347
2,132,14,172,271,347,347
2,132,15,271,347,347,384
2,132,16,347,347,384,493
2,132,17,347,384,493,407
2,132,18,384,493,407,296
2,132,19,493,407,296,315
2,132,20,407,296,315,413
2,132,21,296,315,413,414
2,132,22,315,413,414,282
2,132,23,413,414,282,227
3,132,0,414,282,227,151
3,132,1,282,227,151,27
3,132,2,227,151,27,27
3,132,3,151,27,27,11
3,132,4,27,27,11,23
3,132,5,27,11,23,258
3,132,6,11,23,258,184
3,132,7,23,258,184,141
3,132,8,258,184,141,122
3,132,9,184,141,122,123
3,132,10,141,122,123,158
3,132,11,122,123,158,173
3,132,12,123,158,173,314
3,132,13,158,173,314,403
3,132,14,173,314,403,425
3,132,15,314,403,425,357
3,132,16,403,425,357,530
3,132,17,425,357,530,328
3,132,18,357,530,328,273
3,132,19,530,328,273,369
3,132,20,328,273,369,408
3,132,21,273,369,408,391
3,132,22,369,408,391,409
3,132,23,408,391,409,239
4,132,0,391,409,239,140
4,132,1,409,239,140,43
4,132,2,239,140,43,18
4,132,3,140,43,18,9
4,132,4,43,18,9,22
4,132,5,18,9,22,184
4,132,6,9,22,184,246
4,132,7,22,184,246,234
4,132,8,184,246,234,173
4,132,9,246,234,173,181
4,132,10,234,173,181,167
4,132,11,173,181,167,188
4,132,12,181,167,188,239
4,132,13,167,188,239,434
4,132,14,188,239,434,443
4,132,15,239,434,443,341
4,132,16,434,443,341,439
4,132,17,443,341,439,448
4,132,18,341,439,448,263
4,132,19,439,448,263,383
4,132,20,448,263,383,426
4,132,21,263,383,426,420
4,132,22,383,426,420,322
4,132,23,426,420,322,316
5,132,0,420,322,316,102
5,132,1,322,316,102,80
5,132,2,316,102,80,10
5,132,3,102,80,10,9
5,132,4,80,10,9,26
5,132,5,10,9,26,107
5,132,6,9,26,107,170
5,132,7,26,107,170,220
5,132,8,107,170,220,161
5,132,9,170,220,161,98
5,132,10,220,161,98,181
5,132,11,161,98,181,146
5,132,12,98,181,146,281
