dayofweek,PULocationID,Hours,time1,time2,time3,count
2,43,0,0,0,0,30
2,43,1,0,0,30,15
2,43,2,0,30,15,8
2,43,3,30,15,8,6
2,43,4,15,8,6,11
2,43,5,8,6,11,36
2,43,6,6,11,36,72
2,43,7,11,36,72,216
2,43,8,36,72,216,204
2,43,9,72,216,204,215
2,43,10,216,204,215,187
2,43,11,204,215,187,225
2,43,12,215,187,225,315
2,43,13,187,225,315,254
2,43,14,225,315,254,273
2,43,15,315,254,273,211
2,43,16,254,273,211,262
2,43,17,273,211,262,276
2,43,18,211,262,276,245
2,43,19,262,276,245,189
2,43,20,276,245,189,193
2,43,21,245,189,193,139
2,43,22,189,193,139,116
2,43,23,193,139,116,58
3,43,0,139,116,58,27
3,43,1,116,58,27,16
3,43,2,58,27,16,13
3,43,3,27,16,13,3
3,43,4,16,13,3,11
3,43,5,13,3,11,20
3,43,6,3,11,20,83
3,43,7,11,20,83,230
3,43,8,20,83,230,186
3,43,9,83,230,186,221
3,43,10,230,186,221,171
3,43,11,186,221,171,228
3,43,12,221,171,228,305
3,43,13,171,228,305,267
3,43,14,228,305,267,288
3,43,15,305,267,288,248
3,43,16,267,288,248,297
3,43,17,288,248,297,313
3,43,18,248,297,313,247
3,43,19,297,313,247,235
3,43,20,313,247,235,237
3,43,21,247,235,237,150
3,43,22,235,237,150,124
3,43,23,237,150,124,82
4,43,0,150,124,82,40
4,43,1,124,82,40,23
4,43,2,82,40,23,12
4,43,3,40,23,12,5
4,43,4,23,12,5,5
4,43,5,12,5,5,35
4,43,6,5,5,35,61
4,43,7,5,35,61,197
4,43,8,35,61,197,205
4,43,9,61,197,205,247
4,43,10,197,205,247,220
4,43,11,205,247,220,231
4,43,12,247,220,231,327
4,43,13,220,231,327,325
4,43,14,231,327,325,302
4,43,15,327,325,302,290
4,43,16,325,302,290,331
4,43,17,302,290,331,324
4,43,18,290,331,324,271
4,43,19,331,324,271,280
4,43,20,324,271,280,225
4,43,21,271,280,225,167
4,43,22,280,225,167,139
4,43,23,225,167,139,82
5,43,0,167,139,82,64
5,43,1,139,82,64,36
5,43,2,82,64,36,16
5,43,3,64,36,16,8
5,43,4,36,16,8,9
5,43,5,16,8,9,14
5,43,6,8,9,14,32
5,43,7,9,14,32,57
5,43,8,14,32,57,89
5,43,9,32,57,89,160
5,43,10,57,89,160,180
5,43,11,89,160,180,258
5,43,12,160,180,258,320
5,43,13,180,258,320,374
5,43,14,258,320,374,293
5,43,15,320,374,293,313
5,43,16,374,293,313,402
5,43,17,293,313,402,377
5,43,18,313,402,377,285
5,43,19,402,377,285,276
5,43,20,377,285,276,209
5,43,21,285,276,209,123
5,43,22,276,209,123,103
5,43,23,209,123,103,107
6,43,0,123,103,107,91
6,43,1,103,107,91,44
6,43,2,107,91,44,19
6,43,3,91,44,19,4
6,43,4,44,19,4,10
6,43,5,19,4,10,13
6,43,6,4,10,13,22
6,43,7,10,13,22,40
6,43,8,13,22,40,82
6,43,9,22,40,82,115
6,43,10,40,82,115,209
6,43,11,82,115,209,277
6,43,12,115,209,277,314
6,43,13,209,277,314,344
6,43,14,277,314,344,248
6,43,15,314,344,248,234
6,43,16,344,248,234,301
6,43,17,248,234,301,299
6,43,18,234,301,299,137
6,43,19,301,299,137,119
6,43,20,299,137,119,111
6,43,21,137,119,111,83
6,43,22,119,111,83,94
6,43,23,111,83,94,74
0,43,0,83,94,74,36
0,43,1,94,74,36,6
0,43,2,74,36,6,4
0,43,3,36,6,4,5
0,43,4,6,4,5,14
0,43,5,4,5,14,41
0,43,6,5,14,41,75
0,43,7,14,41,75,168
0,43,8,41,75,168,190
0,43,9,75,168,190,181
0,43,10,168,190,181,184
0,43,11,190,181,184,204
0,43,12,181,184,204,264
0,43,13,184,204,264,229
0,43,14,204,264,229,229
0,43,15,264,229,229,219
0,43,16,229,229,219,282
0,43,17,229,219,282,299
0,43,18,219,282,299,217
0,43,19,282,299,217,224
0,43,20,299,217,224,225
0,43,21,217,224,225,153
0,43,22,224,225,153,88
0,43,23,225,153,88,71
1,43,0,153,88,71,35
1,43,1,88,71,35,11
1,43,2,71,35,11,1
1,43,3,35,11,1,1
1,43,4,11,1,1,11
1,43,5,1,1,11,23
1,43,6,1,11,23,69
1,43,7,11,23,69,169
1,43,8,23,69,169,220
1,43,9,69,169,220,205
1,43,10,169,220,205,191
1,43,11,220,205,191,295
1,43,12,205,191,295,303
1,43,13,191,295,303,262
1,43,14,295,303,262,266
1,43,15,303,262,266,239
1,43,16,262,266,239,295
1,43,17,266,239,295,354
1,43,18,239,295,354,236
1,43,19,295,354,236,246
1,43,20,354,236,246,164
1,43,21,236,246,164,135
1,43,22,246,164,135,83
1,43,23,164,135,83,42
2,43,0,135,83,42,27
2,43,1,83,42,27,10
2,43,2,42,27,10,5
2,43,3,27,10,5,3
2,43,4,10,5,3,11
2,43,5,5,3,11,31
2,43,6,3,11,31,72
2,43,7,11,31,72,199
2,43,8,31,72,199,241
2,43,9,72,199,241,208
2,43,10,199,241,208,232
2,43,11,241,208,232,286
2,43,12,208,232,286,309
2,43,13,232,286,309,299
2,43,14,286,309,299,248
2,43,15,309,299,248,301
2,43,16,299,248,301,272
2,43,17,248,301,272,306
2,43,18,301,272,306,244
2,43,19,272,306,244,321
2,43,20,306,244,321,222
2,43,21,244,321,222,157
2,43,22,321,222,157,128
2,43,23,222,157,128,75
3,43,0,157,128,75,54
3,43,1,128,75,54,28
3,43,2,75,54,28,8
3,43,3,54,28,8,1
3,43,4,28,8,1,6
3,43,5,8,1,6,27
3,43,6,1,6,27,47
3,43,7,6,27,47,77
3,43,8,27,47,77,90
3,43,9,47,77,90,101
3,43,10,77,90,101,100
3,43,11,90,101,100,136
3,43,12,101,100,136,149
3,43,13,100,136,149,195
3,43,14,136,149,195,235
3,43,15,149,195,235,273
3,43,16,195,235,273,355
3,43,17,235,273,355,294
3,43,18,273,355,294,197
3,43,19,355,294,197,182
3,43,20,294,197,182,159
3,43,21,197,182,159,99
3,43,22,182,159,99,72
3,43,23,159,99,72,57
4,43,0,99,72,57,39
4,43,1,72,57,39,20
4,43,2,57,39,20,5
4,43,3,39,20,5,5
4,43,4,20,5,5,11
4,43,5,5,5,11,49
4,43,6,5,11,49,77
4,43,7,11,49,77,184
4,43,8,49,77,184,211
4,43,9,77,184,211,169
4,43,10,184,211,169,238
4,43,11,211,169,238,264
4,43,12,169,238,264,327
4,43,13,238,264,327,284
4,43,14,264,327,284,342
4,43,15,327,284,342,307
4,43,16,284,342,307,320
4,43,17,342,307,320,309
4,43,18,307,320,309,295
4,43,19,320,309,295,329
4,43,20,309,295,329,234
4,43,21,295,329,234,154
4,43,22,329,234,154,134
4,43,23,234,154,134,113
5,43,0,154,134,113,83
5,43,1,134,113,83,42
5,43,2,113,83,42,19
5,43,3,83,42,19,7
5,43,4,42,19,7,8
5,43,5,19,7,8,16
5,43,6,7,8,16,25
5,43,7,8,16,25,44
5,43,8,16,25,44,105
5,43,9,25,44,105,161
5,43,10,44,105,161,214
5,43,11,105,161,214,300
5,43,12,161,214,300,364
5,43,13,214,300,364,284
5,43,14,300,364,284,264
5,43,15,364,284,264,357
5,43,16,284,264,357,377
5,43,17,264,357,377,405
5,43,18,357,377,405,361
5,43,19,377,405,361,365
5,43,20,405,361,365,197
5,43,21,361,365,197,132
5,43,22,365,197,132,125
5,43,23,197,132,125,117
6,43,0,132,125,117,117
6,43,1,125,117,117,43
6,43,2,117,117,43,25
6,43,3,117,43,25,7
6,43,4,43,25,7,19
6,43,5,25,7,19,11
6,43,6,7,19,11,20
6,43,7,19,11,20,39
6,43,8,11,20,39,79
6,43,9,20,39,79,114
6,43,10,39,79,114,208
6,43,11,79,114,208,274
6,43,12,114,208,274,352
6,43,13,208,274,352,377
6,43,14,274,352,377,292
6,43,15,352,377,292,389
6,43,16,377,292,389,346
6,43,17,292,389,346,304
6,43,18,389,346,304,153
6,43,19,346,304,153,127
6,43,20,304,153,127,87
6,43,21,153,127,87,87
6,43,22,127,87,87,37
6,43,23,87,87,37,42
0,43,0,87,37,42,24
0,43,1,37,42,24,11
0,43,2,42,24,11,5
0,43,3,24,11,5,1
0,43,4,11,5,1,9
0,43,5,5,1,9,28
0,43,6,1,9,28,66
0,43,7,9,28,66,129
0,43,8,28,66,129,241
0,43,9,66,129,241,172
0,43,10,129,241,172,188
0,43,11,241,172,188,268
0,43,12,172,188,268,313
0,43,13,188,268,313,269
0,43,14,268,313,269,234
0,43,15,313,269,234,341
0,43,16,269,234,341,311
0,43,17,234,341,311,261
0,43,18,341,311,261,247
0,43,19,311,261,247,233
0,43,20,261,247,233,204
0,43,21,247,233,204,141
0,43,22,233,204,141,82
0,43,23,204,141,82,62
1,43,0,141,82,62,41
1,43,1,82,62,41,14
1,43,2,62,41,14,6
1,43,3,41,14,6,4
1,43,4,14,6,4,10
1,43,5,6,4,10,26
1,43,6,4,10,26,70
1,43,7,10,26,70,164
1,43,8,26,70,164,269
1,43,9,70,164,269,193
1,43,10,164,269,193,233
1,43,11,269,193,233,267
1,43,12,193,233,267,314
1,43,13,233,267,314,301
1,43,14,267,314,301,236
1,43,15,314,301,236,344
1,43,16,301,236,344,314
1,43,17,236,344,314,287
1,43,18,344,314,287,279
1,43,19,314,287,279,254
1,43,20,287,279,254,142
1,43,21,279,254,142,138
1,43,22,254,142,138,109
1,43,23,142,138,109,77
2,43,0,138,109,77,48
2,43,1,109,77,48,20
2,43,2,77,48,20,5
2,43,3,48,20,5,7
2,43,4,20,5,7,8
2,43,5,5,7,8,34
2,43,6,7,8,34,95
2,43,7,8,34,95,158
2,43,8,34,95,158,290
2,43,9,95,158,290,214
2,43,10,158,290,214,247
2,43,11,290,214,247,259
2,43,12,214,247,259,289
2,43,13,247,259,289,265
2,43,14,259,289,265,229
2,43,15,289,265,229,305
2,43,16,265,229,305,315
2,43,17,229,305,315,294
2,43,18,305,315,294,277
2,43,19,315,294,277,289
2,43,20,294,277,289,187
2,43,21,277,289,187,171
2,43,22,289,187,171,109
2,43,23,187,171,109,90
3,43,0,171,109,90,51
3,43,1,109,90,51,13
3,43,2,90,51,13,4
3,43,3,51,13,4,7
3,43,4,13,4,7,16
3,43,5,4,7,16,23
3,43,6,7,16,23,73
3,43,7,16,23,73,137
3,43,8,23,73,137,257
3,43,9,73,137,257,229
3,43,10,137,257,229,230
3,43,11,257,229,230,319
3,43,12,229,230,319,346
3,43,13,230,319,346,280
3,43,14,319,346,280,257
3,43,15,346,280,257,384
3,43,16,280,257,384,332
3,43,17,257,384,332,281
3,43,18,384,332,281,289
3,43,19,332,281,289,280
3,43,20,281,289,280,190
3,43,21,289,280,190,242
3,43,22,280,190,242,143
3,43,23,190,242,143,93
4,43,0,242,143,93,64
4,43,1,143,93,64,18
4,43,2,93,64,18,4
4,43,3,64,18,4,7
4,43,4,18,4,7,14
4,43,5,4,7,14,21
4,43,6,7,14,21,74
4,43,7,14,21,74,133
4,43,8,21,74,133,216
4,43,9,74,133,216,187
4,43,10,133,216,187,239
4,43,11,216,187,239,306
4,43,12,187,239,306,340
4,43,13,239,306,340,301
4,43,14,306,340,301,261
4,43,15,340,301,261,360
4,43,16,301,261,360,291
4,43,17,261,360,291,271
4,43,18,360,291,271,285
4,43,19,291,271,285,285
4,43,20,271,285,285,197
4,43,21,285,285,197,108
4,43,22,285,197,108,88
4,43,23,197,108,88,85
5,43,0,108,88,85,59
5,43,1,88,85,59,24
5,43,2,85,59,24,11
5,43,3,59,24,11,7
5,43,4,24,11,7,13
5,43,5,11,7,13,7
5,43,6,7,13,7,23
5,43,7,13,7,23,35
5,43,8,7,23,35,77
5,43,9,23,35,77,133
5,43,10,35,77,133,164
5,43,11,77,133,164,284
5,43,12,133,164,284,307
5,43,13,164,284,307,286
5,43,14,284,307,286,277
5,43,15,307,286,277,444
5,43,16,286,277,444,414
5,43,17,277,444,414,401
5,43,18,444,414,401,360
5,43,19,414,401,360,301
5,43,20,401,360,301,198
5,43,21,360,301,198,126
5,43,22,301,198,126,103
5,43,23,198,126,103,106
6,43,0,126,103,106,84
6,43,1,103,106,84,45
6,43,2,106,84,45,16
6,43,3,84,45,16,13
6,43,4,45,16,13,16
6,43,5,16,13,16,12
6,43,6,13,16,12,15
6,43,7,16,12,15,43
6,43,8,12,15,43,73
6,43,9,15,43,73,111
6,43,10,43,73,111,185
6,43,11,73,111,185,288
6,43,12,111,185,288,325
6,43,13,185,288,325,363
6,43,14,288,325,363,371
6,43,15,325,363,371,499
6,43,16,363,371,499,507
6,43,17,371,499,507,442
6,43,18,499,507,442,267
6,43,19,507,442,267,139
6,43,20,442,267,139,103
6,43,21,267,139,103,72
6,43,22,139,103,72,62
6,43,23,103,72,62,62
0,43,0,72,62,62,34
0,43,1,62,62,34,12
0,43,2,62,34,12,7
0,43,3,34,12,7,8
0,43,4,12,7,8,6
0,43,5,7,8,6,9
0,43,6,8,6,9,35
0,43,7,6,9,35,58
0,43,8,9,35,58,104
0,43,9,35,58,104,118
0,43,10,58,104,118,163
0,43,11,104,118,163,245
0,43,12,118,163,245,299
0,43,13,163,245,299,255
0,43,14,245,299,255,251
0,43,15,299,255,251,375
0,43,16,255,251,375,377
0,43,17,251,375,377,260
0,43,18,375,377,260,214
0,43,19,377,260,214,139
0,43,20,260,214,139,95
0,43,21,214,139,95,74
0,43,22,139,95,74,64
0,43,23,95,74,64,55
1,43,0,74,64,55,32
1,43,1,64,55,32,8
1,43,2,55,32,8,4
1,43,3,32,8,4,5
1,43,4,8,4,5,7
1,43,5,4,5,7,23
1,43,6,5,7,23,52
1,43,7,7,23,52,104
1,43,8,23,52,104,166
1,43,9,52,104,166,175
1,43,10,104,166,175,228
1,43,11,166,175,228,244
1,43,12,175,228,244,292
1,43,13,228,244,292,220
1,43,14,244,292,220,244
1,43,15,292,220,244,319
1,43,16,220,244,319,270
1,43,17,244,319,270,255
1,43,18,319,270,255,255
1,43,19,270,255,255,218
1,43,20,255,255,218,122
1,43,21,255,218,122,108
1,43,22,218,122,108,84
1,43,23,122,108,84,67
2,43,0,108,84,67,31
2,43,1,84,67,31,6
2,43,2,67,31,6,5
2,43,3,31,6,5,6
2,43,4,6,5,6,9
2,43,5,5,6,9,18
2,43,6,6,9,18,50
2,43,7,9,18,50,184
2,43,8,18,50,184,215
2,43,9,50,184,215,179
2,43,10,184,215,179,229
2,43,11,215,179,229,286
2,43,12,179,229,286,307
2,43,13,229,286,307,227
2,43,14,286,307,227,262
2,43,15,307,227,262,342
2,43,16,227,262,342,331
2,43,17,262,342,331,264
2,43,18,342,331,264,312
2,43,19,331,264,312,268
2,43,20,264,312,268,196
2,43,21,312,268,196,210
2,43,22,268,196,210,97
2,43,23,196,210,97,69
3,43,0,210,97,69,33
3,43,1,97,69,33,15
3,43,2,69,33,15,2
3,43,3,33,15,2,2
3,43,4,15,2,2,7
3,43,5,2,2,7,28
3,43,6,2,7,28,67
3,43,7,7,28,67,179
3,43,8,28,67,179,178
3,43,9,67,179,178,234
3,43,10,179,178,234,240
3,43,11,178,234,240,302
3,43,12,234,240,302,330
3,43,13,240,302,330,286
3,43,14,302,330,286,296
3,43,15,330,286,296,383
3,43,16,286,296,383,348
3,43,17,296,383,348,292
3,43,18,383,348,292,304
3,43,19,348,292,304,227
3,43,20,292,304,227,241
3,43,21,304,227,241,130
3,43,22,227,241,130,139
3,43,23,241,130,139,116
4,43,0,130,139,116,60
4,43,1,139,116,60,18
4,43,2,116,60,18,12
4,43,3,60,18,12,7
4,43,4,18,12,7,10
4,43,5,12,7,10,25
4,43,6,7,10,25,61
4,43,7,10,25,61,167
4,43,8,25,61,167,198
4,43,9,61,167,198,256
4,43,10,167,198,256,264
4,43,11,198,256,264,299
4,43,12,256,264,299,377
4,43,13,264,299,377,285
4,43,14,299,377,285,334
4,43,15,377,285,334,401
4,43,16,285,334,401,359
4,43,17,334,401,359,326
4,43,18,401,359,326,365
4,43,19,359,326,365,216
4,43,20,326,365,216,244
4,43,21,365,216,244,142
4,43,22,216,244,142,165
4,43,23,244,142,165,145
5,43,0,142,165,145,64
5,43,1,165,145,64,29
5,43,2,145,64,29,14
5,43,3,64,29,14,11
5,43,4,29,14,11,9
5,43,5,14,11,9,19
5,43,6,11,9,19,29
5,43,7,9,19,29,60
5,43,8,19,29,60,94
5,43,9,29,60,94,173
5,43,10,60,94,173,253
5,43,11,94,173,253,299
5,43,12,173,253,299,339
5,43,13,253,299,339,327
5,43,14,299,339,327,314
5,43,15,339,327,314,358
5,43,16,327,314,358,408
5,43,17,314,358,408,348
5,43,18,358,408,348,435
5,43,19,408,348,435,204
5,43,20,348,435,204,247
5,43,21,435,204,247,164
5,43,22,204,247,164,104
5,43,23,247,164,104,136
6,43,0,164,104,136,73
6,43,1,104,136,73,38
6,43,2,136,73,38,9
6,43,3,73,38,9,6
6,43,4,38,9,6,16
6,43,5,9,6,16,11
6,43,6,6,16,11,26
6,43,7,16,11,26,54
6,43,8,11,26,54,83
6,43,9,26,54,83,129
6,43,10,54,83,129,228
6,43,11,83,129,228,308
6,43,12,129,228,308,344
6,43,13,228,308,344,283
6,43,14,308,344,283,383
6,43,15,344,283,383,375
6,43,16,283,383,375,386
6,43,17,383,375,386,280
6,43,18,375,386,280,235
6,43,19,386,280,235,120
6,43,20,280,235,120,105
6,43,21,235,120,105,96
6,43,22,120,105,96,68
