dayofweek,PULocationID,Hours,time1,time2,time3,count
6,132,0,0,0,0,263
6,132,1,0,0,263,124
6,132,2,0,263,124,53
6,132,3,263,124,53,36
6,132,4,124,53,36,20
6,132,5,53,36,20,158
6,132,6,36,20,158,222
6,132,7,20,158,222,173
6,132,8,158,222,173,240
6,132,9,222,173,240,170
6,132,10,173,240,170,241
6,132,11,240,170,241,256
6,132,12,170,241,256,327
6,132,13,241,256,327,466
6,132,14,256,327,466,489
6,132,15,327,466,489,502
6,132,16,466,489,502,521
6,132,17,489,502,521,426
6,132,18,502,521,426,467
6,132,19,521,426,467,615
6,132,20,426,467,615,583
6,132,21,467,615,583,615
6,132,22,615,583,615,562
6,132,23,583,615,562,540
0,132,0,615,562,540,298
0,132,1,562,540,298,119
0,132,2,540,298,119,40
0,132,3,298,119,40,29
0,132,4,119,40,29,46
0,132,5,40,29,46,228
0,132,6,29,46,228,372
0,132,7,46,228,372,396
0,132,8,228,372,396,348
0,132,9,372,396,348,268
0,132,10,396,348,268,258
0,132,11,348,268,258,288
0,132,12,268,258,288,410
0,132,13,258,288,410,388
0,132,14,288,410,388,566
0,132,15,410,388,566,593
0,132,16,388,566,593,501
0,132,17,566,593,501,569
0,132,18,593,501,569,560
0,132,19,501,569,560,622
0,132,20,569,560,622,613
0,132,21,560,622,613,730
0,132,22,622,613,730,687
0,132,23,613,730,687,651
1,132,0,730,687,651,641
1,132,1,687,651,641,180
1,132,2,651,641,180,110
1,132,3,641,180,110,19
1,132,4,180,110,19,55
1,132,5,110,19,55,250
1,132,6,19,55,250,386
1,132,7,55,250,386,297
1,132,8,250,386,297,421
1,132,9,386,297,421,360
1,132,10,297,421,360,296
1,132,11,421,360,296,206
1,132,12,360,296,206,365
1,132,13,296,206,365,396
1,132,14,206,365,396,480
1,132,15,365,396,480,487
1,132,16,396,480,487,576
1,132,17,480,487,576,587
1,132,18,487,576,587,484
1,132,19,576,587,484,532
1,132,20,587,484,532,596
1,132,21,484,532,596,596
1,132,22,532,596,596,553
1,132,23,596,596,553,652
2,132,0,596,553,652,476
2,132,1,553,652,476,304
2,132,2,652,476,304,81
2,132,3,476,304,81,33
2,132,4,304,81,33,38
2,132,5,81,33,38,150
2,132,6,33,38,150,294
2,132,7,38,150,294,343
2,132,8,150,294,343,259
2,132,9,294,343,259,221
2,132,10,343,259,221,247
2,132,11,259,221,247,249
2,132,12,221,247,249,283
2,132,13,247,249,283,422
2,132,14,249,283,422,501
2,132,15,283,422,501,490
2,132,16,422,501,490,474
2,132,17,501,490,474,647
2,132,18,490,474,647,446
2,132,19,474,647,446,488
2,132,20,647,446,488,600
2,132,21,446,488,600,534
2,132,22,488,600,534,591
2,132,23,600,534,591,566
3,132,0,534,591,566,294
3,132,1,591,566,294,109
3,132,2,566,294,109,58
3,132,3,294,109,58,30
3,132,4,109,58,30,24
3,132,5,58,30,24,200
3,132,6,30,24,200,230
3,132,7,24,200,230,261
3,132,8,200,230,261,169
3,132,9,230,261,169,197
3,132,10,261,169,197,185
3,132,11,169,197,185,140
3,132,12,197,185,140,219
3,132,13,185,140,219,308
3,132,14,140,219,308,440
3,132,15,219,308,440,417
3,132,16,308,440,417,486
3,132,17,440,417,486,422
3,132,18,417,486,422,426
3,132,19,486,422,426,490
3,132,20,422,426,490,445
3,132,21,426,490,445,562
3,132,22,490,445,562,492
3,132,23,445,562,492,509
4,132,0,562,492,509,327
4,132,1,492,509,327,223
4,132,2,509,327,223,76
4,132,3,327,223,76,23
4,132,4,223,76,23,24
4,132,5,76,23,24,189
4,132,6,23,24,189,315
4,132,7,24,189,315,267
4,132,8,189,315,267,260
4,132,9,315,267,260,188
4,132,10,267,260,188,157
4,132,11,260,188,157,145
4,132,12,188,157,145,205
4,132,13,157,145,205,253
4,132,14,145,205,253,430
4,132,15,205,253,430,477
4,132,16,253,430,477,504
4,132,17,430,477,504,496
4,132,18,477,504,496,430
4,132,19,504,496,430,451
4,132,20,496,430,451,441
4,132,21,430,451,441,412
4,132,22,451,441,412,468
4,132,23,441,412,468,421
5,132,0,412,468,421,321
5,132,1,468,421,321,126
5,132,2,421,321,126,45
5,132,3,321,126,45,25
5,132,4,126,45,25,24
5,132,5,45,25,24,171
5,132,6,25,24,171,335
5,132,7,24,171,335,206
5,132,8,171,335,206,191
5,132,9,335,206,191,157
5,132,10,206,191,157,150
5,132,11,191,157,150,120
5,132,12,157,150,120,98
5,132,13,150,120,98,161
5,132,14,120,98,161,230
5,132,15,98,161,230,317
5,132,16,161,230,317,425
5,132,17,230,317,425,285
5,132,18,317,425,285,404
5,132,19,425,285,404,377
5,132,20,285,404,377,448
5,132,21,404,377,448,478
5,132,22,377,448,478,501
5,132,23,448,478,501,575
6,132,0,478,501,575,512
6,132,1,501,575,512,487
6,132,2,575,512,487,445
6,132,3,512,487,445,377
6,132,4,487,445,377,216
6,132,5,445,377,216,155
6,132,6,377,216,155,287
6,132,7,216,155,287,340
6,132,8,155,287,340,303
6,132,9,287,340,303,312
6,132,10,340,303,312,261
6,132,11,303,312,261,198
6,132,12,312,261,198,213
6,132,13,261,198,213,341
6,132,14,198,213,341,357
6,132,15,213,341,357,436
6,132,16,341,357,436,515
6,132,17,357,436,515,640
6,132,18,436,515,640,488
6,132,19,515,640,488,625
6,132,20,640,488,625,570
6,132,21,488,625,570,676
6,132,22,625,570,676,639
6,132,23,570,676,639,731
0,132,0,676,639,731,588
0,132,1,639,731,588,569
0,132,2,731,588,569,261
0,132,3,588,569,261,153
0,132,4,569,261,153,182
0,132,5,261,153,182,193
0,132,6,153,182,193,318
0,132,7,182,193,318,304
0,132,8,193,318,304,289
0,132,9,318,304,289,251
0,132,10,304,289,251,316
0,132,11,289,251,316,210
0,132,12,251,316,210,229
0,132,13,316,210,229,252
0,132,14,210,229,252,463
0,132,15,229,252,463,503
0,132,16,252,463,503,428
0,132,17,463,503,428,613
0,132,18,503,428,613,573
0,132,19,428,613,573,596
0,132,20,613,573,596,531
0,132,21,573,596,531,534
0,132,22,596,531,534,405
0,132,23,531,534,405,469
1,132,0,534,405,469,404
1,132,1,405,469,404,155
1,132,2,469,404,155,101
1,132,3,404,155,101,68
1,132,4,155,101,68,53
1,132,5,101,68,53,156
1,132,6,68,53,156,196
1,132,7,53,156,196,271
1,132,8,156,196,271,211
1,132,9,196,271,211,224
1,132,10,271,211,224,223
1,132,11,211,224,223,167
1,132,12,224,223,167,219
1,132,13,223,167,219,330
1,132,14,167,219,330,430
1,132,15,219,330,430,472
1,132,16,330,430,472,498
1,132,17,430,472,498,475
1,132,18,472,498,475,404
1,132,19,498,475,404,395
1,132,20,475,404,395,469
1,132,21,404,395,469,371
1,132,22,395,469,371,502
1,132,23,469,371,502,275
2,132,0,371,502,275,231
2,132,1,502,275,231,161
2,132,2,275,231,161,48
2,132,3,231,161,48,43
2,132,4,161,48,43,25
2,132,5,48,43,25,169
2,132,6,43,25,169,205
2,132,7,25,169,205,207
2,132,8,169,205,207,230
2,132,9,205,207,230,165
2,132,10,207,230,165,205
2,132,11,230,165,205,158
2,132,12,165,205,158,231
2,132,13,205,158,231,302
2,132,14,158,231,302,470
