dayofweek,PULocationID,Hours,time1,time2,time3,count
2,12,1,0,0,0,2
2,12,6,0,0,0,2
2,12,7,0,0,2,1
2,12,8,0,2,1,6
2,12,9,2,1,6,2
2,12,10,1,6,2,2
2,12,11,6,2,2,11
2,12,12,2,2,11,6
2,12,13,2,11,6,7
2,12,14,11,6,7,6
2,12,15,6,7,6,9
2,12,16,7,6,9,2
2,12,17,6,9,2,4
2,12,18,9,2,4,4
2,12,19,2,4,4,6
2,12,20,4,4,6,5
2,12,21,4,6,5,3
2,12,22,6,5,3,2
2,12,23,5,3,2,1
3,12,0,3,2,1,1
3,12,1,2,1,1,1
3,12,6,0,0,0,2
3,12,7,0,0,2,1
3,12,8,0,2,1,2
3,12,9,2,1,2,2
3,12,10,1,2,2,2
3,12,11,2,2,2,5
3,12,12,2,2,5,6
3,12,13,2,5,6,5
3,12,14,5,6,5,9
3,12,15,6,5,9,8
3,12,16,5,9,8,4
3,12,17,9,8,4,4
3,12,18,8,4,4,1
3,12,19,4,4,1,2
3,12,20,4,1,2,6
3,12,21,1,2,6,4
3,12,22,2,6,4,4
3,12,23,6,4,4,3
4,12,0,4,4,3,2
4,12,3,2,0,0,1
4,12,6,1,0,0,3
4,12,8,0,3,0,4
4,12,9,3,0,4,4
4,12,10,0,4,4,6
4,12,11,4,4,6,8
4,12,12,4,6,8,8
4,12,13,6,8,8,3
4,12,14,8,8,3,7
4,12,15,8,3,7,12
4,12,16,3,7,12,2
4,12,17,7,12,2,1
4,12,18,12,2,1,2
4,12,19,2,1,2,5
4,12,20,1,2,5,2
4,12,21,2,5,2,1
4,12,23,2,1,0,1
5,12,0,1,0,1,2
5,12,1,0,1,2,1
5,12,2,1,2,1,3
5,12,3,2,1,3,1
5,12,8,0,0,0,1
5,12,9,0,0,1,3
5,12,10,0,1,3,3
5,12,11,1,3,3,7
5,12,12,3,3,7,13
5,12,13,3,7,13,19
5,12,14,7,13,19,26
5,12,15,13,19,26,17
5,12,16,19,26,17,14
5,12,17,26,17,14,11
