dayofweek,PULocationID,Hours,time1,time2,time3,count
6,43,0,0,0,0,403
6,43,1,0,0,403,194
6,43,2,0,403,194,134
6,43,3,403,194,134,62
6,43,4,194,134,62,39
6,43,5,134,62,39,8
6,43,6,62,39,8,21
6,43,7,39,8,21,40
6,43,8,8,21,40,48
6,43,9,21,40,48,60
6,43,10,40,48,60,99
6,43,11,48,60,99,141
6,43,12,60,99,141,199
6,43,13,99,141,199,254
6,43,14,141,199,254,318
6,43,15,199,254,318,345
6,43,16,254,318,345,285
6,43,17,318,345,285,164
6,43,18,345,285,164,180
6,43,19,285,164,180,121
6,43,20,164,180,121,95
6,43,21,180,121,95,62
6,43,22,121,95,62,81
6,43,23,95,62,81,53
0,43,0,62,81,53,22
0,43,1,81,53,22,14
0,43,2,53,22,14,7
0,43,3,22,14,7,15
0,43,4,14,7,15,10
0,43,5,7,15,10,5
0,43,6,15,10,5,24
0,43,7,10,5,24,44
0,43,8,5,24,44,62
0,43,9,24,44,62,107
0,43,10,44,62,107,108
0,43,11,62,107,108,211
0,43,12,107,108,211,276
0,43,13,108,211,276,389
0,43,14,211,276,389,472
0,43,15,276,389,472,406
0,43,16,389,472,406,362
0,43,17,472,406,362,248
0,43,18,406,362,248,155
0,43,19,362,248,155,119
0,43,20,248,155,119,73
0,43,21,155,119,73,78
0,43,22,119,73,78,72
0,43,23,73,78,72,41
1,43,0,78,72,41,15
1,43,1,72,41,15,11
1,43,2,41,15,11,7
1,43,3,15,11,7,9
1,43,4,11,7,9,7
1,43,5,7,9,7,15
1,43,6,9,7,15,88
1,43,7,7,15,88,190
1,43,8,15,88,190,201
1,43,9,88,190,201,191
1,43,10,190,201,191,154
1,43,11,201,191,154,225
1,43,12,191,154,225,268
1,43,13,154,225,268,358
1,43,14,225,268,358,463
1,43,15,268,358,463,546
1,43,16,358,463,546,398
1,43,17,463,546,398,261
1,43,18,546,398,261,223
1,43,19,398,261,223,167
1,43,20,261,223,167,107
1,43,21,223,167,107,79
1,43,22,167,107,79,61
1,43,23,107,79,61,42
2,43,0,79,61,42,18
2,43,1,61,42,18,9
2,43,2,42,18,9,8
2,43,3,18,9,8,3
2,43,4,9,8,3,11
2,43,5,8,3,11,19
2,43,6,3,11,19,71
2,43,7,11,19,71,191
2,43,8,19,71,191,210
2,43,9,71,191,210,207
2,43,10,191,210,207,154
2,43,11,210,207,154,233
2,43,12,207,154,233,228
2,43,13,154,233,228,298
2,43,14,233,228,298,350
2,43,15,228,298,350,452
2,43,16,298,350,452,346
2,43,17,350,452,346,268
2,43,18,452,346,268,288
2,43,19,346,268,288,216
2,43,20,268,288,216,131
2,43,21,288,216,131,128
2,43,22,216,131,128,89
2,43,23,131,128,89,40
3,43,0,128,89,40,19
3,43,1,89,40,19,6
3,43,2,40,19,6,9
3,43,3,19,6,9,5
3,43,4,6,9,5,8
3,43,5,9,5,8,19
3,43,6,5,8,19,73
3,43,7,8,19,73,217
3,43,8,19,73,217,262
3,43,9,73,217,262,250
3,43,10,217,262,250,196
3,43,11,262,250,196,239
3,43,12,250,196,239,246
3,43,13,196,239,246,308
3,43,14,239,246,308,402
3,43,15,246,308,402,435
3,43,16,308,402,435,317
3,43,17,402,435,317,262
3,43,18,435,317,262,266
3,43,19,317,262,266,231
3,43,20,262,266,231,146
3,43,21,266,231,146,159
3,43,22,231,146,159,129
3,43,23,146,159,129,55
4,43,0,159,129,55,25
4,43,1,129,55,25,12
4,43,2,55,25,12,16
4,43,3,25,12,16,7
4,43,4,12,16,7,5
4,43,5,16,7,5,25
4,43,6,7,5,25,90
4,43,7,5,25,90,258
4,43,8,25,90,258,202
4,43,9,90,258,202,234
4,43,10,258,202,234,174
4,43,11,202,234,174,232
4,43,12,234,174,232,271
4,43,13,174,232,271,339
4,43,14,232,271,339,445
4,43,15,271,339,445,470
4,43,16,339,445,470,293
4,43,17,445,470,293,297
4,43,18,470,293,297,346
4,43,19,293,297,346,305
4,43,20,297,346,305,228
4,43,21,346,305,228,172
4,43,22,305,228,172,119
4,43,23,228,172,119,90
5,43,0,172,119,90,57
5,43,1,119,90,57,34
5,43,2,90,57,34,11
5,43,3,57,34,11,16
5,43,4,34,11,16,6
5,43,5,11,16,6,12
5,43,6,16,6,12,29
5,43,7,6,12,29,98
5,43,8,12,29,98,113
5,43,9,29,98,113,218
5,43,10,98,113,218,205
5,43,11,113,218,205,205
5,43,12,218,205,205,297
5,43,13,205,205,297,411
5,43,14,205,297,411,363
5,43,15,297,411,363,439
5,43,16,411,363,439,297
5,43,17,363,439,297,197
5,43,18,439,297,197,242
5,43,19,297,197,242,200
5,43,20,197,242,200,149
5,43,21,242,200,149,115
5,43,22,200,149,115,95
5,43,23,149,115,95,87
6,43,0,115,95,87,68
6,43,1,95,87,68,23
6,43,2,87,68,23,13
6,43,3,68,23,13,9
6,43,4,23,13,9,5
6,43,5,13,9,5,11
6,43,6,9,5,11,29
6,43,7,5,11,29,65
6,43,8,11,29,65,83
6,43,9,29,65,83,131
6,43,10,65,83,131,217
6,43,11,83,131,217,272
6,43,12,131,217,272,315
6,43,13,217,272,315,376
6,43,14,272,315,376,374
6,43,15,315,376,374,473
6,43,16,376,374,473,356
6,43,17,374,473,356,261
6,43,18,473,356,261,166
6,43,19,356,261,166,147
6,43,20,261,166,147,86
6,43,21,166,147,86,90
6,43,22,147,86,90,48
6,43,23,86,90,48,43
0,43,0,90,48,43,20
0,43,1,48,43,20,11
0,43,2,43,20,11,4
0,43,3,20,11,4,5
0,43,4,11,4,5,7
0,43,5,4,5,7,23
0,43,6,5,7,23,74
0,43,7,7,23,74,283
0,43,8,23,74,283,225
0,43,9,74,283,225,224
0,43,10,283,225,224,194
0,43,11,225,224,194,179
0,43,12,224,194,179,230
0,43,13,194,179,230,222
0,43,14,179,230,222,304
0,43,15,230,222,304,373
0,43,16,222,304,373,240
0,43,17,304,373,240,248
0,43,18,373,240,248,247
0,43,19,240,248,247,212
0,43,20,248,247,212,126
0,43,21,247,212,126,143
0,43,22,212,126,143,84
0,43,23,126,143,84,42
1,43,0,143,84,42,21
1,43,1,84,42,21,7
1,43,2,42,21,7,12
1,43,3,21,7,12,7
1,43,4,7,12,7,10
1,43,5,12,7,10,28
1,43,6,7,10,28,67
1,43,7,10,28,67,245
1,43,8,28,67,245,249
1,43,9,67,245,249,209
1,43,10,245,249,209,222
1,43,11,249,209,222,206
1,43,12,209,222,206,248
1,43,13,222,206,248,251
1,43,14,206,248,251,321
1,43,15,248,251,321,376
1,43,16,251,321,376,223
1,43,17,321,376,223,275
1,43,18,376,223,275,257
1,43,19,223,275,257,222
1,43,20,275,257,222,141
1,43,21,257,222,141,176
1,43,22,222,141,176,86
1,43,23,141,176,86,43
2,43,0,176,86,43,30
2,43,1,86,43,30,20
2,43,2,43,30,20,24
2,43,3,30,20,24,18
2,43,4,20,24,18,14
2,43,5,24,18,14,31
2,43,6,18,14,31,81
2,43,7,14,31,81,225
2,43,8,31,81,225,213
2,43,9,81,225,213,187
2,43,10,225,213,187,206
2,43,11,213,187,206,212
2,43,12,187,206,212,239
2,43,13,206,212,239,269
2,43,14,212,239,269,307
2,43,15,239,269,307,343
2,43,16,269,307,343,228
2,43,17,307,343,228,263
2,43,18,343,228,263,252
2,43,19,228,263,252,234
2,43,20,263,252,234,147
2,43,21,252,234,147,180
2,43,22,234,147,180,97
2,43,23,147,180,97,61
3,43,0,180,97,61,23
3,43,1,97,61,23,20
3,43,2,61,23,20,13
3,43,3,23,20,13,12
3,43,4,20,13,12,22
3,43,5,13,12,22,40
3,43,6,12,22,40,84
3,43,7,22,40,84,230
3,43,8,40,84,230,217
3,43,9,84,230,217,190
3,43,10,230,217,190,234
3,43,11,217,190,234,186
3,43,12,190,234,186,229
3,43,13,234,186,229,306
3,43,14,186,229,306,364
3,43,15,229,306,364,329
3,43,16,306,364,329,238
3,43,17,364,329,238,281
3,43,18,329,238,281,262
3,43,19,238,281,262,245
3,43,20,281,262,245,139
3,43,21,262,245,139,199
3,43,22,245,139,199,110
3,43,23,139,199,110,88
4,43,0,199,110,88,56
4,43,1,110,88,56,21
4,43,2,88,56,21,27
4,43,3,56,21,27,18
4,43,4,21,27,18,21
4,43,5,27,18,21,37
4,43,6,18,21,37,82
4,43,7,21,37,82,192
4,43,8,37,82,192,254
4,43,9,82,192,254,156
4,43,10,192,254,156,179
4,43,11,254,156,179,149
4,43,12,156,179,149,240
4,43,13,179,149,240,301
4,43,14,149,240,301,352
4,43,15,240,301,352,370
4,43,16,301,352,370,255
4,43,17,352,370,255,325
4,43,18,370,255,325,269
4,43,19,255,325,269,242
4,43,20,325,269,242,166
4,43,21,269,242,166,131
4,43,22,242,166,131,101
4,43,23,166,131,101,80
5,43,0,131,101,80,55
5,43,1,101,80,55,35
5,43,2,80,55,35,31
5,43,3,55,35,31,11
5,43,4,35,31,11,12
5,43,5,31,11,12,28
5,43,6,11,12,28,33
5,43,7,12,28,33,54
5,43,8,28,33,54,78
5,43,9,33,54,78,103
5,43,10,54,78,103,162
5,43,11,78,103,162,183
5,43,12,103,162,183,290
5,43,13,162,183,290,373
5,43,14,183,290,373,371
5,43,15,290,373,371,462
5,43,16,373,371,462,336
5,43,17,371,462,336,376
5,43,18,462,336,376,324
5,43,19,336,376,324,275
5,43,20,376,324,275,214
5,43,21,324,275,214,119
5,43,22,275,214,119,101
5,43,23,214,119,101,100
6,43,0,119,101,100,53
6,43,1,101,100,53,28
6,43,2,100,53,28,14
6,43,3,53,28,14,11
6,43,4,28,14,11,5
6,43,5,14,11,5,11
6,43,6,11,5,11,24
6,43,7,5,11,24,52
6,43,8,11,24,52,79
6,43,9,24,52,79,93
6,43,10,52,79,93,160
6,43,11,79,93,160,184
6,43,12,93,160,184,272
6,43,13,160,184,272,370
6,43,14,184,272,370,376
